Citations,Authors,Title,Year,Source,Publisher,Branch,Keywords,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
5,"Gustavo Deco, R D Rivarola",Pair production with electron capture in relativistic heavy-ion collisions,1989,Journal of Physics B,,Theoretical Physics,"Wave function, Physics, Perturbation theory, Particle physics, Pair production, Nuclear physics, Multipole expansion, Lepton, Impact parameter, Electron capture, Electron",http://iopscience.iop.org/article/10.1088/0953-4075/22/7/013,,294,06/05/2020 21:15,Journal article,10.1088/0953-4075/22/7/013,,,22,7,1043,1050,5,0.16,3,2,31,The creation of an e--e+ pair as an intermediate mechanism of electron capture in collisions between bare heavy ions at relativistic impact velocities is analysed. A distorted-wave model is developed to study the process. A two-centre Sommerfeld-Maue spinor is introduced to represent the positron as moving in the simultaneous presence of the projectile and target nuclei. Single differential cross sections are calculated as a function of positron energy. Comparisons are given with results obtained by using other theoretical approximations.
11,"A E Martinez, Gustavo Deco, R D Rivarola, P D Fainstein",Electron capture and ionization in atomic collisions,1989,Nuclear Instruments & Methods in Physics Research Section B-beam Interactions With Materials and Atoms,,Theoretical Physics,"Polarization (waves), Ionization, Electron ionization, Electron capture, Continuum (design consultancy), Chemistry, Atomic physics, Atomic collisions, Analytical chemistry",https://www.sciencedirect.com/science/article/pii/0168583X89900748,,225,06/05/2020 21:15,Journal article,10.1016/0168-583X(89)90074-8,,,43,1,24,28,11,0.35,3,4,31,"Abstract The Continuum Distorted Wave-Eikonal Initial State method previously introduced to describe electron capture and ionization in asymmetric collisions is here applied to study the quasisymmetric reaction H+ + He+. Moreover, the H+ +Ne reaction is analysed with the purpose of estimating the ability of the theory to represent different physical mechanisms such as binding and polarization effects arising in the ionization case."
13,"Gustavo Deco, N Grun",An approximate description of the double capture process in He2+ + He collisions with static correlation,1991,European Physical Journal D,,Theoretical Physics,"Wave function, Physics, Ion, Electron capture, Correlation, Continuum (design consultancy), Configuration interaction, Basso continuo, Atomic physics, Amplitude",https://link.springer.com/article/10.1007/BF01426595,,207,06/05/2020 21:15,Journal article,10.1007/BF01426595,,,18,4,339,343,13,0.45,7,2,29,It is shown that the process of resonant double electron capture in high energy He2++He collisions can be approximately described by a sum over products of one-electron CDW amplitudes. The summation coefficients are determined by stationary ground-state calculations with CI wavefunctions. Total and differential cross sections are calculated and compared with experimental values.
162,"Gustavo Deco, Wilfried Brauer",Nonlinear higher-order statistical decorrelation by volume-conserving neural architectures,1995,Neural Networks,,Neuronal Networks,"Unsupervised learning, Redundancy (engineering), Nonlinear system, Mutual information, Mathematics, Machine learning, Information theory, Gaussian, Decorrelation, Artificial neural network, Artificial intelligence",http://ci.nii.ac.jp/naid/10008946124,,31,06/05/2020 21:15,Journal article,10.1016/0893-6080(94)00108-X,,,8,4,525,535,162,6.48,81,2,25,"Abstract A neural network learning paradigm based on information theory is proposed as a way to perform, in an unsupervised fashion, redundancy reduction among the elements of the output layer without loss of information from the sensory input. The model developed performs nonlinear decorrelation up to higher orders of the cumulant tensors and results in probabilistically independent components of the output layer. This means that we don't need to assume Gaussian distribution at either the input or the output. The theory presented is related to the unsupervised learning theory of Barlow, which proposes redundancy reduction as the goal of cognition. When nonlinear units are used (sigmoid or higher-order pi-neurons), nonlinear principal component analysis is obtained. In this case, nonlinear manifolds can be reduced to minimum dimension manifolds. If such units are used the network performs a generalized principal component analysis in the sense that non-Gaussian distributions can be linearly decorrelated and higher orders of the correlation tensors are also taken into account. The basic structure of the architecture involves a general transformation that is volume conserving and therefore the entropy, yielding a map without loss of information. Minimization of the mutual information among the output neurons eliminates the redundancy between the outputs and results in statistical decorrelation of the extracted features. This is known as factorial learning. To sum up, this paper presents a model of factorial learning for general nonlinear transformations of an arbitrary non-Gaussian (or Gaussian) environment with statistically nonlinearly correlated input. Simulations demonstrate the effectiveness of this method."
148,"Lucas C Parra, Gustavo Deco, Stefan Miesbach",Statistical independence and novelty detection with information preserving nonlinear maps,1996,Neural Computation,,Nonlinear dynamics,"Probability distribution, Novelty detection, Mutual information, Mathematics, Mathematical optimization, Joint probability distribution, Independence (probability theory), Density estimation, Decorrelation, Covariance matrix, Calculus, Algorithm",http://cognet.mit.edu/journal/10.1162/neco.1996.8.2.260,,26,06/05/2020 21:15,Journal article,10.1162/NECO.1996.8.2.260,,,8,2,260,269,148,6.17,49,3,24,"According to Barlow (1989), feature extraction can be understood as finding a statistically independent representation of the probability distribution underlying the measured signals. The search for a statistically independent representation can be formulated by the criterion of minimal mutual information, which reduces to decorrelation in the case of gaussian distributions. If nongaussian distributions are to be considered, minimal mutual information is the appropriate generalization of decorrelation as used in linear Principal Component Analyses (PCA). We also generalize to nonlinear transformations by only demanding perfect transmission of information. This leads to a general class of nonlinear transformations, namely symplectic maps. Conservation of information allows us to consider only the statistics of single coordinates. The resulting factorial representation of the joint probability distribution gives a density estimation. We apply this concept to the real world problem of electrical motor fault detection treated as a novelty detection task."
136,"Christian Schittenkopf, Christian Schittenkopf, Gustavo Deco, Wilfried Brauer",Two strategies to avoid overfitting in feedforward networks,1997,Neural Networks,,Neuronal Networks,"Principal component analysis, Overfitting, Network topology, Mathematics, Mathematical optimization, Machine learning, Information theory, Free parameter, Feed forward, Error function, Artificial neural network, Artificial intelligence",http://ci.nii.ac.jp/naid/10008951219,,45,06/05/2020 21:15,Journal article,10.1016/S0893-6080(96)00086-X,,,10,3,505,516,136,5.91,34,4,23,"Abstract We present a new network topology to avoid overfitting in two-layered feedforward networks. We use two additional linear layers and principal component analysis to reduce the dimension of both inputs and internal representations and to transmit the essential information. Thereby neurons with small variance in the output are removed, which results in better generalization properties. Our network and learning rules can also be seen as a procedure to reduce the number of free parameters without using second order information of the error function. As a second strategy we derive a penalty term, which drives the network to keep the variances of the hidden layer outputs small. Experimental results show that thereby the transmitted information is limited, which reduces the noise and gives better generalization. The variances of the outputs of the hidden neurons are used again as a pruning criterion. © 1997 Elsevier Science Ltd. All Rights Reserved."
52,"Rosaria Silipo, Gustavo Deco, Rossano Vergassola, Helmut Bartsch",Dynamics extraction in multivariate biomedical time series,1998,Biological Cybernetics,,Neuronal Networks,"Order of integration, Nonlinear system, Nonlinear autoregressive exogenous model, Markov process, Machine learning, Cross-spectrum, Conditional probability, Computer science, Autoregressive model, Artificial neural network, Artificial intelligence",https://core.ac.uk/display/23270665,,106,06/05/2020 21:15,Journal article,10.1007/S004220050454,,,79,1,15,27,52,2.36,13,4,22,"A nonlinear analysis of the underlying dynamics of a biomedical time series is proposed by means of a multi-dimensional testing of nonlinear Markovian hypotheses in the observed time series. The observed dynamics of the original N-dimensional biomedical time series is tested against a hierarchy of null hypotheses corresponding to N-dimensional nonlinear Markov processes of increasing order, whose conditional probability densities are estimated using neural networks. For each of the N time series, a measure based on higher order cumulants quantifies the independence between the past of the N-dimensional time series, and its value r steps ahead. This cumulant-based measure is used as a discriminating statistic for testing the null hypotheses. Experiments performed on artificial and real world examples, including autoregressive models, noisy chaos, and nonchaotic nonlinear processes, show the effectiveness of the proposed approach in modeling multivariate systems, predicting multidimensional time series, and characterizing the structure of biological systems. Electroencephalogram (EEG) time series and heart rate variability trends are tested as biomedical signal examples."
66,"Gustavo Deco, Bernd Schurmann",Stochastic resonance in the mutual information between input and output spike trains of noisy central neurons,1998,Physica D: Nonlinear Phenomena,,Nonlinear dynamics,"Topology, Stochastic resonance (sensory neurobiology), Stochastic resonance, Stochastic modelling, Spike train, Mutual information, Mathematics, Mathematical optimization, Mathematical analysis, Jump process, Input/output, Biological neuron model",https://www.sciencedirect.com/science/article/pii/S0167278997003138,,86,06/05/2020 21:15,Journal article,10.1016/S0167-2789(97)00313-8,,,117,1,276,282,66,3,33,2,22,"Abstract Within the framework of information theory, we investigate the phenomenon of stochastic resonance in a realistic stochastic model of central neurons. The essential point is that, for central neurons, the input is not a continuous signal but a train of spikes which has, in general, a non-periodic distribution. The behavior of an individual neuron is modeled by a combination of an Ornstein-Uhlenbeck diffusion process and a jump process corresponding to a discrete input spike train. The input spike train is assumed to be given by a Poisson distribution. If the parameters are such that the input spike train provokes a membrane potential that hovers under the threshold, the noise given by the diffusive part of the neuron model induces a maximum in the mutual information between the input and output spike trains. Thus, the stochastic resonance effect results in a strategy for efficient information transmission of subthreshold signals."
123,"Gustavo Deco, Bernd Schurmann",A hierarchical neural system with attentional top–down enhancement of the spatial resolution for object recognition,2000,Vision Research,,Computational and Cognitive Neuroscience,"Visual cortex, Top-down and bottom-up design, Statistical hypothesis testing, Psychology, Feed forward, Connectionism, Computational neuroscience, Communication, Cognitive neuroscience of visual object recognition, Attentional control",http://www.ncbi.nlm.nih.gov/pubmed/10960655,,51,06/05/2020 21:15,Journal article,10.1016/S0042-6989(00)00140-1,,,40,20,2845,2859,123,6.15,62,2,20,We present a hierarchical neurodynamical system for object recognition based on attentional control of the spatial resolution with which an object is analyzed during an iterative hypothesis testing cycle. Psychophysical evidence strongly suggests that attentional processing results in the enhancement of the spatial resolution in the input region corresponding to the focus of attention. We adopt a computational neuroscience approach in order to analyze this attentional enhancement of the spatial resolution for object recognition. The system consists of a where- and a what-module which include networks with feedforward and feedback interconnections describing the mutual links between different areas of the visual cortex.
171,"Laura Martignon, Gustavo Deco, Kathryn B Laskey, Mathew Diamond, Winrich A Freiwald, Eilon Vaadia",Neural Coding: Higher-Order Temporal Patterns in the Neurostatistics of Cell Assemblies,2000,Neural Computation,,Neuronal Networks,"Visual cortex, Statistical model, Statistical hypothesis testing, Spike train, Pattern recognition, Neural coding, Mathematics, Machine learning, Frequentist inference, Bayesian probability, Artificial neural network, Artificial intelligence",http://cognet.mit.edu/journal/10.1162/089976600300014872,,24,06/05/2020 21:15,Journal article,10.1162/089976600300014872,,,12,11,2621,2653,171,8.55,29,6,20,"Recent advances in the technology of multiunit recordings make it possible to test Hebb's hypothesis that neurons do not function in isolation but are organized in assemblies. This has created the need for statistical approaches to detecting the presence of spatiotemporal patterns of more than two neurons in neuron spike train data. We mention three possible measures for the presence of higher-order patterns of neural activation-coef ficients of log-linear models, connected cumulants, and redundancies-and present arguments in favor of the coefficients of loglinear models. We present test statistics for detecting the presence of higher-order interactions in spike train data by parameterizing these interactions in terms of coefficients of log-linear models. We also present a Bayesian approach for inferring the existence or absence of interactions and estimating their strength. The two methods, the frequentist and the Bayesian one, are shown to be consistent in the sense that interactions that are detected by either method also tend to be detected by the other. A heuristic for the analysis of temporal patterns is also proposed. Finally, a Bayesian test is presented that establishes stochastic differences between recorded segments of data. The methods are applied to experimental data and synthetic data drawn from our statistical models. Our experimental data are drawn from multiunit recordings in the prefrontal cortex of behaving monkeys, the somatosensory cortex of anesthetized rats, and multiunit recordings in the visual cortex of behaving monkeys."
54,"Silvia Corchs, Gustavo Deco",A neurodynamical model for selective visual attention using oscillators,2001,Neural Networks,,Neuronal Networks,"Visual search, Visual perception, Visual cortex, Synchronization, Pattern recognition, Oscillation, Mathematics, Machine learning, Linear model, Eye movement, Artificial neural network, Artificial intelligence",http://ci.nii.ac.jp/naid/10010414776,,101,06/05/2020 21:15,Journal article,10.1016/S0893-6080(01)00055-7,,,14,8,981,990,54,2.84,27,2,19,"We present a neurodynamical model to study and simulate visual search tasks experiments. The model consists of different pools of interconnected phase oscillators. Each oscillator is described by an integrate-and-fire type equation. Visual attention appears as an emergent property of the dynamic of the system, resulting from the temporal synchronization of the pools which bind the features of the searched target. The time courses observed in the psychophysical visual search experiments can be explained within a purely parallel dynamic and without assuming priority maps and serial spotlight mechanisms, as is usually done in the standard theories. The model fits also the measured activity reported for the neural responses in inferotemporal visual cortex of monkeys performing visual search tasks."
76,"Gustavo Deco, Josef Zihl",A neurodynamical model of visual attention: feedback enhancement of spatial resolution in a hierarchical system.,2001,Journal of Computational Neuroscience,,Computational and Cognitive Neuroscience,"Visual search, Visual cortex, Mathematics, Image resolution, Hierarchical control system, Global precedence, Gabor wavelet, Computer vision, Computational neuroscience, Attentional control, Artificial intelligence",http://pubman.mpdl.mpg.de/pubman/item/escidoc:1645491,,78,06/05/2020 21:15,Journal article,10.1023/A:1011233530729,,,10,3,231,253,76,4,38,2,19,"Human beings have the capacity to recognize objects in natural visual scenes with high efficiency despite the complexity of such scenes, which usually contain multiple objects. One possible mechanism for dealing with this problem is selective attention. Psychophysical evidence strongly suggests that selective attention can enhance the spatial resolution in the input region corresponding to the focus of attention. In this work we adopt a computational neuroscience perspective to analyze the attentional enhancement of spatial resolution in the area containing the objects of interest. We extend and apply the computational model of Deco and Schurmann (2000), which consists of several modules with feedforward and feedback interconnections describing the mutual links between different areas of the visual cortex. Each module analyses the visual input with different spatial resolution and can be thought of as a hierarchical predictor at a given level of resolution. Moreover, each hierarchical predictor has a submodule that consists of a group of neurons performing a biologically based 2D Gabor wavelet transformation at a given resolution level. The attention control decides in which local regions the spatial resolution should be enhanced in a serial fashion. In this sense, the scene is first analyzed at a coarse resolution level, and the focus of attention enhances iteratively the resolution at the location of an object until the object is identified. We propose and simulate new psychophysical experiments where the effect of the attentional enhancement of spatial resolution can be demonstrated by predicting different reaction time profiles in visual search experiments where the target and distractors are defined at different levels of resolution."
108,"Gustavo Deco, Josef Zihl",Top-down selective visual attention: a neurodynamical approach.,2001,Visual Cognition,,Neuronal Networks,"Visual searchVisual field, Top-down and bottom-up design, Salience (neuroscience), Psychology, Perception, Pattern recognition, Convergence (routing), Communication, Cognitive psychology, Cognition, Artificial neural network, Artificial intelligence",http://pubman.mpdl.mpg.de/pubman/item/escidoc:1645653,,56,06/05/2020 21:15,Journal article,10.1080/13506280042000054,,,8,1,119,140,108,5.68,54,2,19,"We propose a system of interconnected modules consisting of populations of neurons for modelling the underlying mechanisms involved in selective visual attention. We demonstrate that it is plausible to build a neural system for visual search, which works across the visual field in parallel, but, due to the intrinsic dynamics of the system, resembles apparent modes of visual attention, namely the serial focal and the parallel spread over the space mode. Thus, neither explicit serial focal search nor saliency maps need to be assumed. A focal attentional spotlight is not included in the system but rather focal attention emerges due to the convergence of the dynamic behaviour of the neural networks. The dynamics of the system can be interpreted as a mechanism for routing information from the sensory input."
56,"Gustavo Deco, Edmund T Rolls",Object-based visual neglect: a computational hypothesis.,2002,European Journal of Neuroscience,,Computational and Cognitive Neuroscience,"Visual system, Visual memory, Visual N1, Temporal cortex, Psychology, Posterior parietal cortex, N2pc, Lateral inhibition, Form perception, Computer vision, Cognitive psychology, Artificial intelligence, Anatomy",http://onlinelibrary.wiley.com/doi/10.1046/j.1460-9568.2002.02279.x/abstract,,100,06/05/2020 21:15,Journal article,10.1046/J.1460-9568.2002.02279.X,,,16,10,1994,2000,56,3.11,28,2,18,"Some patients with damage to the right parietal cortex show neglect for the left half of each of a series of objects shown in a horizontal row in the visual field. The neglect is thus not based on failure to see objects in any part of left visual space, but is object-based. We show that in a model of attention with separate V1, object (inferior temporal cortex, IT) and spatial (posterior parietal cortex, PP) modules the effect can arise after graded damage increasing towards the right of the PP module when the lateral inhibition between neurons in the PP and V1 modules is short-range. The local lateral inhibition produces high contrast effects at the edges of each object, and it is when this interacts with gradually increasing damage through the left visual field that the visibility of the left half of each object is especially impaired. This result was found in a formal model completely specified by mean field equations to quantify the dynamical interactions between the modules. This is the first quantitative account of object-based neglect found in humans with right parietal cortex damage, and provides evidence that the model of attention we describe can account for even detailed and extraordinary phenomena that can occur in visual perception."
87,"Gustavo Deco, Tai Sing Lee",A unified model of spatial and object attention based on inter-cortical biased competition,2002,Neurocomputing,,Computational and Cognitive Neuroscience,"Visual search, Visual cortex, Unified Model, Pattern recognition, Object model, Mathematics, Machine learning, Form perception, Extrastriate cortex, Computer vision, Cognitive neuroscience of visual object recognition, Biased Competition Theory, Artificial intelligence",http://repository.cmu.edu/compsci/1096/,,63,06/05/2020 21:15,Journal article,10.1016/S0925-2312(02)00471-X,,,44,46,775,781,87,4.83,44,2,18,"Abstract We present a physiologically constrained neural dynamical model of the visual system for the organization of attention and its mediation of object recognition and visual search. In this model, spatial and feature attention are mediated by a single neural mechanism involving the interaction of the ventral and the dorsal streams with the early visual cortex. The model consists of three representative modules which encode object classes, spatial locations, and elementary features, respectively. These modules are coupled together in a neural dynamical system in the framework of biased competition. The system can be made to operate in either a spatial or an object attention mode by introducing a top-down bias to either the dorsal or the ventral stream modules. In this system, translation invariant object recognition and object spatial localization arise from the interaction among the modules, with the early visual areas playing a key role in mediating such interaction."
102,"Gustavo Deco, Olga Pollatos, Josef Zihl",The time course of selective visual attention: theory and experiments,2002,Vision Research,,Neuronal Networks,"Visual search, Visual field, Visual cortex, Salience (neuroscience), Psychology, Perception, Convergence (routing), Communication, Cognition, Artificial neural network",http://pubman.mpdl.mpg.de/pubman/item/escidoc:1643461,,55,06/05/2020 21:15,Journal article,10.1016/S0042-6989(02)00358-9,,,42,27,2925,2945,102,5.67,34,3,18,"Historically, the psychophysical evidence for ‘‘selective attention’’ originated mainly from visual search experiments. A first important distinction in the processing of information in visual search tasks is its separation in two stages. The first, early ‘‘preattentive’’ stage operates in parallel across the entire visual field extracting single ‘‘primitive features’’ without integrating them. The second ‘‘attentive’’ stage corresponds to the specialized integration of information from a limited part of the field at any one time, i.e. serially. So far, models based on the above mentioned two-stage processes have been able to distinguish features from conjunction search conditions based on the observed slopes of the linear relation between reaction time (i.e., search time) and the number of items in the stimulus array. We propose a neuroscience based model for visual attention that works across the visual field in parallel, but due to its intrinsic dynamics can show the two experimentally observed modes of visual attention, namely: the serial focal attention and the parallel spread of attention over space. The model demonstrates that neither explicit serial focal search nor saliency maps need to be assumed. In the present model the focus of attention is not included in the system but only emerges after convergence of the dynamical behaviour of the neural networks. Furthermore, existing models have not been able to explain the variation of slopes observed in different kinds of conjunction search modes. We hypothesize that the different slopes can be explained by assuming that selective attention is guided by an independent mechanism which corresponds to the independent search for each feature. The model consistently integrates the different neuroscience levels by considering the microscopic neurodynamical mechanism that underlies visual attention, the different brain areas of the dorsal or ‘‘where’’ and ventral or ‘‘what’’ paths of the visual cortex, and behavioural data. 2002 Elsevier Science Ltd. All rights reserved."
129,"Silvia Corchs, Gustavo Deco",Large-scale Neural Model for Visual Attention: Integration of Experimental Single-cell and fMRI Data,2002,Cerebral Cortex,,Computational and Cognitive Neuroscience,"Visual perception, Visual cortexVisual attention, Temporal resolution, Psychology, Neuroscience, Functional magnetic resonance imaging, Electrophysiology, Dorsum, Computational neuroscience",https://academic.oup.com/cercor/article/12/4/339/295761,,40,06/05/2020 21:15,Journal article,10.1093/CERCOR/12.4.339,,,12,4,339,348,129,7.17,65,2,18,
156,"Gustavo Deco, Edmund T Rolls",Attention and working memory: a dynamical model of neuronal activity in the prefrontal cortex.,2003,European Journal of Neuroscience,,Computational and Cognitive Neuroscience,"Working memory, Stimulus (physiology), Sensory system, Premovement neuronal activity, Prefrontal cortex, Neuroscience, Neural substrate, Nerve net, Biology, Attractor network",http://europepmc.org/abstract/MED/14622200,,23,06/05/2020 21:15,Journal article,10.1046/J.1460-9568.2003.02956.X,,,18,8,2374,2390,156,9.18,78,2,17,"Cognitive behaviour requires complex context-dependent mapping between sensory stimuli and actions. The same stimulus can lead to different behaviours depending on the situation, or the same behaviour may be elicited by different cueing stimuli. Neurons in the primate prefrontal cortex show task-specific firing activity during working memory delay periods. These neurons provide a neural substrate for mapping stimulus and response in a flexible, context- or rule-dependent, fashion. We describe here an integrate-and-fire network model to explain and investigate the different types of working-memory-related neuronal activity observed. The model contains different populations (or pools) of neurons (as found neurophysiologically) in attractor networks which respond in the delay period to the stimulus object, the stimulus position ('sensory pools'), to combinations of the stimulus sensory properties (e.g. the object identity or object location) and the response ('intermediate pools'), and to the response required (left or right) ('premotor pools'). The pools are arranged hierarchically, are linked by associative synaptic connections, and have global inhibition through inhibitory interneurons to implement competition. It is shown that a biasing attentional input to define the current rule applied to the intermediate pools enables the system to select the correct response in what is a biased competition model of attention. The integrate-and-fire model not only produces realistic spiking dynamicals very similar to the neuronal data but also shows how dopamine could weaken and shorten the persistent neuronal activity in the delay period; and allows us to predict more response errors when dopamine is elevated because there is less different activity in the different pools of competing neurons, resulting in more conflict."
