Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
306,"R Hindriks, MH Adhikari, Y Murayama, M Ganzetti…","Can sliding-window correlations reveal dynamic functional connectivity in resting-state fMRI?",2016,"Neuroimage","Elsevier","https://www.sciencedirect.com/science/article/pii/S1053811915010782","https://scholar.google.com/scholar?cites=14471366701475386121&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-04-30 13:05:27","HTML","","","",,,,,306,76.50,61,5,4,"During the last several years, the focus of research on resting-state functional magnetic resonance imaging (fMRI) has shifted from the analysis of functional connectivity averaged over the duration of scanning sessions to the analysis of changes of functional connectivity …"
291,"G Deco, A Ponce-Alvarez, D Mantini…","Resting-state functional connectivity emerges from structurally and dynamically shaped slow linear fluctuations",2013,"Journal of …","Soc Neuroscience","https://www.jneurosci.org/content/33/27/11239.short","https://scholar.google.com/scholar?cites=1621334693192803776&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-04-30 13:05:27","","","","",,,,,291,41.57,73,4,7,"Brain fluctuations at rest are not random but are structured in spatial patterns of correlated activity across different brain areas. The question of how resting-state functional connectivity (FC) emerges from the brain9s anatomical connections has motivated several experimental …"
290,"ET Rolls, G Deco","The noisy brain: stochastic dynamics as a principle of brain function",2010,"","oxcns.org","https://www.oxcns.org/papers/NoisyBrainContentsAndChapter5.pdf","https://scholar.google.com/scholar?cites=5620627668875395808&as_sdt=2005&sciodt=0,5&hl=en",13,"2020-04-30 13:05:27","BOOK","","","",,,,,290,29.00,145,2,10,"The relatively random spiking times of individual neurons produce a source of noise in the brain. The aim of this book is to consider the effects of this and other noise on brain processing. We show that in cortical networks this noise can be an advantage, for it leads to …"
272,"ECA Hansen, D Battaglia, A Spiegler, G Deco, VK Jirsa","Functional connectivity dynamics: modeling the switching behavior of the resting state",2015,"Neuroimage","Elsevier","https://www.sciencedirect.com/science/article/pii/S1053811914009033","https://scholar.google.com/scholar?cites=12701241887700964155&as_sdt=2005&sciodt=0,5&hl=en",14,"2020-04-30 13:05:27","HTML","","","",,,,,272,54.40,54,5,5,"Functional connectivity (FC) sheds light on the interactions between different brain regions. Besides basic research, it is clinically relevant for applications in Alzheimer's disease, schizophrenia, presurgical planning, epilepsy, and traumatic brain injury. Simulations of …"
256,"G Deco, G Tononi, M Boly…","Rethinking segregation and integration: contributions of whole-brain modelling",2015,"Nature Reviews …","nature.com","https://www.nature.com/articles/nrn3963","https://scholar.google.com/scholar?cites=12390911996422998927&as_sdt=2005&sciodt=0,5&hl=en",15,"2020-04-30 13:05:27","","","","",,,,,256,51.20,64,4,5,"The brain regulates information flow by balancing the segregation and integration of incoming stimuli to facilitate flexible cognition and behaviour. The topological features of brain networks—in particular, network communities and hubs—support this segregation and …"
238,"G Deco, M Corbetta","The dynamical balance of the brain at rest",2011,"The Neuroscientist","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1073858409354384","https://scholar.google.com/scholar?cites=2049706856384686782&as_sdt=2005&sciodt=0,5&hl=en",16,"2020-04-30 13:05:27","","","","",,,,,238,26.44,119,2,9,"The authors review evidence that spontaneous, that is, not stimulus or task driven, activity in the brain at the level of large-scale neural systems is not noise, but orderly and organized in a series of functional networks that maintain, at all times, a high level of coherence. These …"
234,"G Deco, ET Rolls","Neurodynamics of biased competition and cooperation for attention: a model with spiking neurons",2005,"Journal of neurophysiology","physiology.org","https://www.physiology.org/doi/abs/10.1152/jn.01095.2004","https://scholar.google.com/scholar?cites=9991691697542750187&as_sdt=2005&sciodt=0,5&hl=en",17,"2020-04-30 13:05:27","","","","",,,,,234,15.60,117,2,15,"Recent neurophysiological experiments have led to a promising “biased competition hypothesis” of the neural basis of attention. According to this hypothesis, attention appears as a sometimes nonlinear property that results from a top-down biasing effect that influences …"
232,"G Deco, VK Jirsa, AR McIntosh","Resting brains never rest: computational insights into potential cognitive architectures",2013,"Trends in neurosciences","Elsevier","https://www.sciencedirect.com/science/article/pii/S0166223613000398","https://scholar.google.com/scholar?cites=390583759804327830&as_sdt=2005&sciodt=0,5&hl=en",18,"2020-04-30 13:05:27","","","","",,,,,232,33.14,77,3,7,"Resting-state networks (RSNs), which have become a main focus in neuroimaging research, can be best simulated by large-scale cortical models in which networks teeter on the edge of instability. In this state, the functional networks are in a low firing stable state while they are …"
214,"J Cabral, ML Kringelbach, G Deco","Exploring the network dynamics underlying brain activity during rest",2014,"Progress in neurobiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0301008213001457","https://scholar.google.com/scholar?cites=8480223145321652780&as_sdt=2005&sciodt=0,5&hl=en",19,"2020-04-30 13:05:27","HTML","","","",,,,,214,35.67,71,3,6,"Since the mid 1990s, the intriguing dynamics of the brain at rest has been attracting a growing body of research in neuroscience. Neuroimaging studies have revealed distinct functional networks that slowly activate and deactivate, pointing to the existence of an …"
203,"G Deco, ET Rolls, R Romo","Stochastic dynamics as a principle of brain function",2009,"Progress in neurobiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0301008209000197","https://scholar.google.com/scholar?cites=4449561686442569245&as_sdt=2005&sciodt=0,5&hl=en",20,"2020-04-30 13:05:27","","","","",,,,,203,18.45,68,3,11,"The relatively random spiking times of individual neurons are a source of noise in the brain. We show that in a finite-sized cortical attractor network, this can be an advantage, for it leads to probabilistic behavior that is advantageous in decision-making, by preventing deadlock …"
203,"G Deco, ML Kringelbach","Great expectations: using whole-brain computational connectomics for understanding neuropsychiatric disorders",2014,"Neuron","Elsevier","https://www.sciencedirect.com/science/article/pii/S0896627314007351","https://scholar.google.com/scholar?cites=18193959441183128508&as_sdt=2005&sciodt=0,5&hl=en",21,"2020-04-30 13:05:27","HTML","","","",,,,,203,33.83,102,2,6,"The study of human brain networks with in vivo neuroimaging has given rise to the field of connectomics, furthered by advances in network science and graph theory informing our understanding of the topology and function of the healthy brain. Here our focus is on the …"
176,"G Deco, ET Rolls","Attention and working memory: a dynamical model of neuronal activity in the prefrontal cortex",2003,"European Journal of Neuroscience","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1460-9568.2003.02956.x","https://scholar.google.com/scholar?cites=5686826821192024881&as_sdt=2005&sciodt=0,5&hl=en",22,"2020-04-30 13:05:27","","","","",,,,,176,10.35,88,2,17,"Cognitive behaviour requires complex context‐dependent mapping between sensory stimuli and actions. The same stimulus can lead to different behaviours depending on the situation, or the same behaviour may be elicited by different cueing stimuli. Neurons in the primate …"
173,"L Parra, G Deco, S Miesbach","Statistical independence and novelty detection with information preserving nonlinear maps",1996,"Neural Computation","MIT Press","https://www.mitpressjournals.org/doi/abs/10.1162/neco.1996.8.2.260","https://scholar.google.com/scholar?cites=9313450867883457173&as_sdt=2005&sciodt=0,5&hl=en",23,"2020-04-30 13:05:27","","","","",,,,,173,7.21,58,3,24,"According to Barlow (1989), feature extraction can be understood as finding a statistically independent representation of the probability distribution underlying the measured signals. The search for a statistically independent representation can be formulated by the criterion …"
167,"L Martignon, G Deco, K Laskey, M Diamond…","Neural coding: higher-order temporal patterns in the neurostatistics of cell assemblies",2000,"Neural …","MIT Press","https://www.mitpressjournals.org/doi/abs/10.1162/089976600300014872","https://scholar.google.com/scholar?cites=1463469407366921323&as_sdt=2005&sciodt=0,5&hl=en",24,"2020-04-30 13:05:27","","","","",,,,,167,8.35,33,5,20,"Recent advances in the technology of multiunit recordings make it possible to test Hebb's hypothesis that neurons do not function in isolation but are organized in assemblies. This has created the need for statistical approaches to detecting the presence of spatiotemporal …"
152,"M Loh, ET Rolls, G Deco","A dynamical systems hypothesis of schizophrenia",2007,"PLoS Computational Biology","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2065887/","https://scholar.google.com/scholar?cites=16518489696989892962&as_sdt=2005&sciodt=0,5&hl=en",25,"2020-04-30 13:05:27","HTML","","","",,,,,152,11.69,51,3,13,"We propose a top-down approach to the symptoms of schizophrenia based on a statistical dynamical framework. We show that a reduced depth in the basins of attraction of cortical attractor states destabilizes the activity at the network level due to the constant statistical …"
144,"A Buehlmann, G Deco","Optimal information transfer in the cortex through synchronization",2010,"PLoS computational biology","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2940722/","https://scholar.google.com/scholar?cites=8388582775698028750&as_sdt=2005&sciodt=0,5&hl=en",26,"2020-04-30 13:05:27","HTML","","","",,,,,144,14.40,72,2,10,"In recent experimental work it has been shown that neuronal interactions are modulated by neuronal synchronization and that this modulation depends on phase shifts in neuronal oscillations. This result suggests that connections in a network can be shaped through …"
146,"TI Panagiotaropoulos, G Deco, V Kapoor…","Neuronal discharges and gamma oscillations explicitly reflect visual consciousness in the lateral prefrontal cortex",2012,"Neuron","Elsevier","https://www.sciencedirect.com/science/article/pii/S0896627312003807","https://scholar.google.com/scholar?cites=5986079802783907382&as_sdt=2005&sciodt=0,5&hl=en",27,"2020-04-30 13:05:27","HTML","","","",,,,,146,18.25,37,4,8,"Neuronal discharges in the primate temporal lobe, but not in the striate and extrastriate cortex, reliably reflect stimulus awareness. However, it is not clear whether visual consciousness should be uniquely localized in the temporal association cortex. Here we …"
138,"C Schittenkopf, G Deco, W Brauer","Two strategies to avoid overfitting in feedforward networks",1997,"Neural networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S089360809600086X","https://scholar.google.com/scholar?cites=972148527550562514&as_sdt=2005&sciodt=0,5&hl=en",28,"2020-04-30 13:05:27","","","","",,,,,138,6.00,46,3,23,"We present a new network topology to avoid overfitting in two-layered feedforward networks. We use two additional linear layers and principal component analysis to reduce the dimension of both inputs and internal representations and to transmit the essential …"
136,"T Masquelier, E Hugues, G Deco…","Oscillations, phase-of-firing coding, and spike timing-dependent plasticity: an efficient learning scheme",2009,"Journal of …","Soc Neuroscience","https://www.jneurosci.org/content/29/43/13484.short","https://scholar.google.com/scholar?cites=6335398264864574741&as_sdt=2005&sciodt=0,5&hl=en",29,"2020-04-30 13:05:27","","","","",,,,,136,12.36,34,4,11,"Recent experiments have established that information can be encoded in the spike times of neurons relative to the phase of a background oscillation in the local field potential—a phenomenon referred to as “phase-of-firing coding”(PoFC). These firing phase preferences …"
139,"J Cabral, H Luckhoo, M Woolrich, M Joensson…","Exploring mechanisms of spontaneous functional connectivity in MEG: how delayed network interactions lead to structured amplitude envelopes of band-pass …",2014,"Neuroimage","Elsevier","https://www.sciencedirect.com/science/article/pii/S1053811913011968","https://scholar.google.com/scholar?cites=1438334854194156371&as_sdt=2005&sciodt=0,5&hl=en",30,"2020-04-30 13:05:27","HTML","","","",,,,,139,23.17,28,5,6,"Spontaneous (or resting-state) brain activity has attracted a growing body of neuroimaging research over the last decades. Whole-brain network models have proved helpful to investigate the source of slow (< 0.1 Hz) correlated hemodynamic fluctuations revealed in …"
135,"G Deco, ET Rolls","Decision‐making and Weber's law: a neurophysiological model",2006,"European Journal of Neuroscience","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1460-9568.2006.04940.x","https://scholar.google.com/scholar?cites=15295266476913194198&as_sdt=2005&sciodt=0,5&hl=en",31,"2020-04-30 13:05:27","","","","",,,,,135,9.64,68,2,14,"We describe an integrate‐and‐fire attractor model of the decision‐related activity of ventral premotor cortex (VPC) neurons during a vibrotactile frequency comparison task [Romo et al.(2004) Neuron, 41, 165–173]. Populations of neurons for each decision in a biased …"
135,"G Deco, ET Rolls, B Horwitz","“What” and “where” in visual working memory: a computational neurodynamical perspective for integrating fMRI and single-neuron data",2004,"Journal of Cognitive Neuroscience","MIT Press","https://www.mitpressjournals.org/doi/abs/10.1162/089892904323057380","https://scholar.google.com/scholar?cites=5897693397447686793&as_sdt=2005&sciodt=0,5&hl=en",32,"2020-04-30 13:05:27","","","","",,,,,135,8.44,45,3,16,"Single-neuron recordings, functional magnetic resonance imaging (fMRI) data, and the effects of lesions indicate that the prefrontal cortex (PFC) is involved in some types of working memory and related cognitive processes. Based on these data, two different models …"
131,"G Deco, W Brauer","Nonlinear higher-order statistical decorrelation by volume-conserving neural architectures",1995,"Neural Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/089360809400108X","https://scholar.google.com/scholar?cites=9784376256638644054&as_sdt=2005&sciodt=0,5&hl=en",33,"2020-04-30 13:05:27","","","","",,,,,131,5.24,66,2,25,"A neural network learning paradigm based on information theory is proposed as a way to perform, in an unsupervised fashion, redundancy reduction among the elements of the output layer without loss of information from the sensory input. The model developed …"
132,"G Deco, ET Rolls, L Albantakis, R Romo","Brain mechanisms for perceptual and reward-related decision-making",2013,"Progress in Neurobiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0301008212000111","https://scholar.google.com/scholar?cites=5865781265291406602&as_sdt=2005&sciodt=0,5&hl=en",34,"2020-04-30 13:05:27","","","","",,,,,132,18.86,33,4,7,"Phenomenological models of decision-making, including the drift–diffusion and race models, are compared with mechanistic, biologically plausible models, such as integrate-and-fire attractor neuronal network models. The attractor network models show how decision …"
136,"W Gerstner, H Sprekeler, G Deco","Theory and simulation in neuroscience",2012,"Science","science.sciencemag.org","https://science.sciencemag.org/content/338/6103/60.short","https://scholar.google.com/scholar?cites=8355008610647707906&as_sdt=2005&sciodt=0,5&hl=en",35,"2020-04-30 13:05:27","","","","",,,,,136,17.00,45,3,8,"Modeling work in neuroscience can be classified using two different criteria. The first one is the complexity of the model, ranging from simplified conceptual models that are amenable to mathematical analysis to detailed models that require simulations in order to understand …"
132,"G Deco, A Ponce-Alvarez, P Hagmann…","How local excitation–inhibition ratio impacts the whole brain dynamics",2014,"Journal of …","Soc Neuroscience","https://www.jneurosci.org/content/34/23/7886.short","https://scholar.google.com/scholar?cites=5294420310046991901&as_sdt=2005&sciodt=0,5&hl=en",36,"2020-04-30 13:05:27","","","","",,,,,132,22.00,33,4,6,"The spontaneous activity of the brain shows different features at different scales. On one hand, neuroimaging studies show that long-range correlations are highly structured in spatiotemporal patterns, known as resting-state networks, on the other hand …"
127,"V Jirsa, O Sporns, M Breakspear, G Deco…","Towards the virtual brain: network modeling of the intact and the damaged brain",2010,"Archives italiennes de …","architalbiol.org","http://www.architalbiol.org/index.php/aib/article/view/148189","https://scholar.google.com/scholar?cites=2105716262252363791&as_sdt=2005&sciodt=0,5&hl=en",37,"2020-04-30 13:05:27","","","","",,,,,127,12.70,25,5,10,"Neurocomputational models of large-scale brain dynamics utilizing realistic connectivity matrices have advanced our understanding of the operational network principles in the brain. In particular, spontaneous or resting state activity has been studied on various scales …"
125,"S Corchs, G Deco","Large-scale neural model for visual attention: integration of experimental single-cell and fMRI data",2002,"Cerebral Cortex","academic.oup.com","https://academic.oup.com/cercor/article-abstract/12/4/339/295761","https://scholar.google.com/scholar?cites=16354156889300131216&as_sdt=2005&sciodt=0,5&hl=en",38,"2020-04-30 13:05:27","","","","",,,,,125,6.94,63,2,18,"A computational neuroscience framework is proposed to better understand the role and the neuronal correlate of spatial attention modulation in visual perception. The model consists of several interconnected modules that can be related to the different areas of the dorsal and …"
121,"G Deco, ET Rolls","Synaptic and spiking dynamics underlying reward reversal in the orbitofrontal cortex",2005,"Cerebral Cortex","academic.oup.com","https://academic.oup.com/cercor/article-abstract/15/1/15/282736","https://scholar.google.com/scholar?cites=12988093005093856442&as_sdt=2005&sciodt=0,5&hl=en",39,"2020-04-30 13:05:27","","","","",,,,,121,8.07,61,2,15,"Cognitive and emotional flexibility involve a coordinated interaction between working memory, attention, reward expectations, and the evaluation of rewards and punishers so that behaviour can be changed if necessary. We describe a model at the integrate-and-fire …"
124,"A Ponce-Alvarez, G Deco, P Hagmann…","Resting-state temporal synchronization networks emerge from connectivity topology and heterogeneity",2015,"PLoS computational …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4333573/","https://scholar.google.com/scholar?cites=18431080929968519041&as_sdt=2005&sciodt=0,5&hl=en",40,"2020-04-30 13:05:27","HTML","","","",,,,,124,24.80,31,4,5,"Spatial patterns of coherent activity across different brain areas have been identified during the resting-state fluctuations of the brain. However, recent studies indicate that resting-state activity is not stationary, but shows complex temporal dynamics. We were interested in the …"
117,"J Cabral, E Hugues, ML Kringelbach, G Deco","Modeling the outcome of structural disconnection on resting-state functional connectivity",2012,"Neuroimage","Elsevier","https://www.sciencedirect.com/science/article/pii/S1053811912005848","https://scholar.google.com/scholar?cites=6433503536715471127&as_sdt=2005&sciodt=0,5&hl=en",41,"2020-04-30 13:05:27","","","","",,,,,117,14.63,29,4,8,"A growing body of experimental evidence suggests that functional connectivity at rest is shaped by the underlying anatomical structure. Furthermore, the organizational properties of resting-state functional networks are thought to serve as the basis for an optimal cognitive …"
121,"K Friston, M Breakspear, G Deco","Perception and self-organized instability",2012,"Frontiers in computational …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fncom.2012.00044","https://scholar.google.com/scholar?cites=10524152361263093805&as_sdt=2005&sciodt=0,5&hl=en",42,"2020-04-30 13:05:27","HTML","","","",,,,,121,15.13,40,3,8,"This paper considers state-dependent dynamics that mediate perception in the brain. In particular, it considers the formal basis of self-organised instabilities that enable perceptual transitions during Bayes-optimal perception. The basic phenomena we consider are …"
115,"ET Rolls, F Grabenhorst, G Deco","Choice, difficulty, and confidence in the brain",2010,"Neuroimage","Elsevier","https://www.sciencedirect.com/science/article/pii/S105381191000950X","https://scholar.google.com/scholar?cites=4384797256562699238&as_sdt=2005&sciodt=0,5&hl=en",43,"2020-04-30 13:05:27","","","","",,,,,115,11.50,38,3,10,"To provide a neurobiological basis for understanding decision-making and decision confidence, we describe and analyze a neuronal spiking attractor-based model of decision-making that makes predictions about synaptic and neuronal activity, the fMRI BOLD …"
107,"M Senden, G Deco, MA De Reus, R Goebel…","Rich club organization supports a diverse set of functional network configurations",2014,"Neuroimage","Elsevier","https://www.sciencedirect.com/science/article/pii/S1053811914002274","https://scholar.google.com/scholar?cites=385777767605812796&as_sdt=2005&sciodt=0,5&hl=en",44,"2020-04-30 13:05:27","","","","",,,,,107,17.83,21,5,6,"Brain function relies on the flexible integration of a diverse set of segregated cortical modules, with the structural connectivity of the brain being a fundamentally important factor in shaping the brain's functional dynamics. Following up on macroscopic studies showing …"
112,"G Deco, ML Kringelbach","Metastability and coherence: extending the communication through coherence hypothesis using a whole-brain computational perspective",2016,"Trends in neurosciences","Elsevier","https://www.sciencedirect.com/science/article/pii/S0166223616000023","https://scholar.google.com/scholar?cites=16625150810028655378&as_sdt=2005&sciodt=0,5&hl=en",45,"2020-04-30 13:05:27","","","","",,,,,112,28.00,56,2,4,"Understanding the mechanisms for communication in the brain remains one of the most challenging scientific questions. The communication through coherence (CTC) hypothesis was originally proposed 10 years ago, stating that two groups of neurons communicate most …"
104,"G Deco, J Zihl","Top-down selective visual attention: A neurodynamical approach",2001,"Visual Cognition","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/13506280042000054","https://scholar.google.com/scholar?cites=7726554795007571799&as_sdt=2005&sciodt=0,5&hl=en",46,"2020-04-30 13:05:27","","","","",,,,,104,5.47,52,2,19,"We propose a system of interconnected modules consisting of populations of neurons for modelling the underlying mechanisms involved in selective visual attention. We demonstrate that it is plausible to build a neural system for visual search, which works across the visual …"
107,"G Deco, AR McIntosh, K Shen…","Identification of optimal structural connectivity using functional connectivity and neural modeling",2014,"Journal of …","Soc Neuroscience","https://www.jneurosci.org/content/34/23/7910.short","https://scholar.google.com/scholar?cites=7630942911440616540&as_sdt=2005&sciodt=0,5&hl=en",47,"2020-04-30 13:05:27","","","","",,,,,107,17.83,27,4,6,"The complex network dynamics that arise from the interaction of the brain9s structural and functional architectures give rise to mental function. Theoretical models demonstrate that the structure–function relation is maximal when the global network dynamics operate at a critical …"
108,"V Nácher, A Ledberg, G Deco…","Coherent delta-band oscillations between cortical areas correlate with decision making",2013,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/110/37/15085.short","https://scholar.google.com/scholar?cites=2178647612738918516&as_sdt=2005&sciodt=0,5&hl=en",48,"2020-04-30 13:05:27","","","","",,,,,108,15.43,27,4,7,"Coherent oscillations in the theta-to-gamma frequency range have been proposed as a mechanism that coordinates neural activity in large-scale cortical networks in sensory, motor, and cognitive tasks. Whether this mechanism also involves coherent oscillations at …"
99,"G Deco, O Pollatos, J Zihl","The time course of selective visual attention: theory and experiments",2002,"Vision research","Elsevier","https://www.sciencedirect.com/science/article/pii/S0042698902003589","https://scholar.google.com/scholar?cites=4858619164030808480&as_sdt=2005&sciodt=0,5&hl=en",49,"2020-04-30 13:05:27","HTML","","","",,,,,99,5.50,33,3,18,"Historically, the psychophysical evidence for “selective attention” originated mainly from visual search experiments. A first important distinction in the processing of information in visual search tasks is its separation in two stages. The first, early “preattentive” stage …"
100,"ET Rolls, F Grabenhorst, G Deco","Decision-making, errors, and confidence in the brain",2010,"Journal of neurophysiology","physiology.org","https://www.physiology.org/doi/abs/10.1152/jn.00571.2010","https://scholar.google.com/scholar?cites=16157476944839046709&as_sdt=2005&sciodt=0,5&hl=en",50,"2020-04-30 13:05:27","","","","",,,,,100,10.00,33,3,10,"To provide a fundamental basis for understanding decision-making and decision confidence, we analyze a neuronal spiking attractor-based model of decision-making. The model predicts probabilistic decision-making with larger neuronal responses and larger …"
91,"D Durstewitz, G Deco","Computational significance of transient dynamics in cortical networks",2008,"European Journal of Neuroscience","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1460-9568.2007.05976.x","https://scholar.google.com/scholar?cites=1355160926372762628&as_sdt=2005&sciodt=0,5&hl=en",51,"2020-04-30 13:05:27","","","","",,,,,91,7.58,46,2,12,"Neural responses are most often characterized in terms of the sets of environmental or internal conditions or stimuli with which their firing rate are correlated increases or decreases. Their transient (nonstationary) temporal profiles of activity have received …"
